ID,Causal claim,Independent variable (coded),Dependent variable (coded),Relationship,sentence_id,source,final_sentence_id
1581,"Water stress is widely regarded as a major driver of conflict in Batken province, Kyrgyzstan, and among the communities in the disputed territories between Kyrgyzstan and Tajikistan.",Access to water,Armed conflict,Negative,115,ronak_patel_csv,282
1582,"Through the programme, a new irrigation canal was built to serve the Kyrgyz side, and wells were constructed to serve the Tajik side. The programme has documented evidence of enhanced access to irrigation water, reduced tensions between communities over water access and enhanced relations between communities.",Water infrastructure,Access to water,Positive,116,ronak_patel_csv,283
556,"During the former Communist period in Bosnia, the movement of humans and animals was more restricted, thus facilitating surveillance and control of animal diseases. After the war, there was no effective unified Border Service",Armed conflict,Border services,Negative,117,ronak_patel_csv,284
557,"During the former Communist period in Bosnia, the movement of humans and animals was more restricted, thus facilitating surveillance and control of animal diseases. After the war, there was no effective unified Border Service",Border services,Veterinary services,Positive,117,ronak_patel_csv,284
558,"Countries surrounding Syria experienced considerable challenges in controlling high-consequence animal diseases, due to the regulated and unregulated movements of Syrian refugees with their animals, although these went largely undocumented",Armed conflict,Mobility of livestock,Positive,118,ronak_patel_csv,285
559,"Countries surrounding Syria experienced considerable challenges in controlling high-consequence animal diseases, due to the regulated and unregulated movements of Syrian refugees with their animals, although these went largely undocumented",Mobility of livestock,Veterinary services,Negative,118,ronak_patel_csv,285
564,"Bosnian borders were known by exporters from neighbouring countries to be porous after the war, and animal disease outbreaks were often ascribed to animals imported into Bosnia. This was due to inadequate veterinary oversight and corruption (black market) ... Conflict often reduces the capability to police food safety protocols, particularly the ability to provide adequate sanitary inspection of animal products. This results in the erosion of overall food safety.",Armed conflict,Veterinary services,Negative,119,ronak_patel_csv,286
565,"Bosnian borders were known by exporters from neighbouring countries to be porous after the war, and animal disease outbreaks were often ascribed to animals imported into Bosnia. This was due to inadequate veterinary oversight and corruption (black market) ... Conflict often reduces the capability to police food safety protocols, particularly the ability to provide adequate sanitary inspection of animal products. This results in the erosion of overall food safety.",Veterinary services,Illegal trade,Negative,119,ronak_patel_csv,286
566,"Bosnian borders were known by exporters from neighbouring countries to be porous after the war, and animal disease outbreaks were often ascribed to animals imported into Bosnia. This was due to inadequate veterinary oversight and corruption (black market) ... Conflict often reduces the capability to police food safety protocols, particularly the ability to provide adequate sanitary inspection of animal products. This results in the erosion of overall food safety.",Illegal trade,Food safety,Negative,119,ronak_patel_csv,286
2170,"Cross-border conflicts continued to manifest in Mandera, where Kenya, Ethiopia and Somalia meet, and Karamoja (Ethiopia, Kenya, South Sudan and Uganda), mainly driven by cattle rustling and disputes over access to water and pasture.",Livestock raiding,Armed conflict,Positive,120,ronak_patel_csv,287
2171,"Cross-border conflicts continued to manifest in Mandera, where Kenya, Ethiopia and Somalia meet, and Karamoja (Ethiopia, Kenya, South Sudan and Uganda), mainly driven by cattle rustling and disputes over access to water and pasture.",Conflict over natural resources,Armed conflict,Positive,120,ronak_patel_csv,287
2173,"In addition, extreme climatic events have worsened intercommunal conflicts, increasing disputes over already scarce natural resources, straining pastoralists’ ability to move their herds beyond their communities’ own lands. For these reasons, pastoralists have become heavily armed to protect their herds as well as their communities.",Extreme weather,Communal conflict,Positive,121,ronak_patel_csv,288
2174,"In addition, extreme climatic events have worsened intercommunal conflicts, increasing disputes over already scarce natural resources, straining pastoralists’ ability to move their herds beyond their communities’ own lands. For these reasons, pastoralists have become heavily armed to protect their herds as well as their communities.",Communal conflict,Competition over natural resources,Positive,121,ronak_patel_csv,288
2175,"In addition, extreme climatic events have worsened intercommunal conflicts, increasing disputes over already scarce natural resources, straining pastoralists’ ability to move their herds beyond their communities’ own lands. For these reasons, pastoralists have become heavily armed to protect their herds as well as their communities.",Communal conflict,Mobility (pastoralists),Negative,121,ronak_patel_csv,288
2176,"In addition, extreme climatic events have worsened intercommunal conflicts, increasing disputes over already scarce natural resources, straining pastoralists’ ability to move their herds beyond their communities’ own lands. For these reasons, pastoralists have become heavily armed to protect their herds as well as their communities.",Competition over natural resources,Arms availability,Positive,121,ronak_patel_csv,288
2177,"In addition, extreme climatic events have worsened intercommunal conflicts, increasing disputes over already scarce natural resources, straining pastoralists’ ability to move their herds beyond their communities’ own lands. For these reasons, pastoralists have become heavily armed to protect their herds as well as their communities.",Mobility (pastoralists),Arms availability,Negative,121,ronak_patel_csv,288
2897,"In West Africa, for example, changing rainfall patterns have forced herders into cropped areas in search of grass and water. The damage is exacerbating tensions and leading to more frequent outbreaks of conflict across the savanna",Rainfall variability,Inter-communal land encroachment,Positive,122,ronak_patel_csv,289
2898,"In West Africa, for example, changing rainfall patterns have forced herders into cropped areas in search of grass and water. The damage is exacerbating tensions and leading to more frequent outbreaks of conflict across the savanna",Inter-communal land encroachment,Armed conflict onset,Positive,122,ronak_patel_csv,289
3033,Kah (2017) concludes that chronic food insecurity in parts of Nigeria and Cameroon is a consequence of the Boko Haram insurgency,Armed conflict,Food security,Negative,123,ronak_patel_csv,290
493,"However, the exchange rate started to increase after the escalation of the conflict in Nagorno-Karabakh in late September 2020.",Armed conflict,Exchange rate,Positive,124,ronak_patel_csv,291
494,"The increase of the exchange rate of foreign currencies, in particular USD and Euro, is a sign of the severe devaluation of the value of the Armenian Dram (AMD).",Exchange rate,Currency value,Negative,125,ronak_patel_csv,292
495,The food basket price started to increase again after September 2020 similarly with the increase of exchange rate coinciding with the period of the conflict.,Armed conflict,Food prices,Positive,126,ronak_patel_csv,293
496,"The mVAM survey was launched to monitor the food security situation of spontaneous arrivals and their hosting families, and assess the impact of the COVID- 19 pandemic and the influx from the Nagorno-Karabakh conflict.",Armed conflict,Displacement,Positive,127,ronak_patel_csv,294
500,"This finding can be explained by the majority of rural population being engaged in farming activities, and thereby being more resistant during various shocks in terms of keeping their source of income (farming). Hence, they might have applied fewer coping strategies and had food from their own farms.",Agricultural production,Negative coping strategies,Negative,130,ronak_patel_csv,297
501,"COVID-19 had significant implications on the food and nutrition security situation and poverty in Armenia. This was further exacerbated, when the conflict in the Nagorno-Karabakh (NK) region broke out in September and October of 2020",Armed conflict,Covid-19 pandemic,Positive,131,ronak_patel_csv,298
502,"COVID-19 had significant implications on the food and nutrition security situation and poverty in Armenia. This was further exacerbated, when the conflict in the Nagorno-Karabakh (NK) region broke out in September and October of 2020",Covid-19 pandemic,Food security,Negative,131,ronak_patel_csv,298
503,"Overall, despite receiving assistance, household food security of WFP’s beneficiaries in border areas has deteriorated",Armed conflict,Food aid,Negative,132,ronak_patel_csv,299
504,Credit was overwhelmingly used to buy food (64% of households),Armed conflict,Negative coping strategies,Positive,133,ronak_patel_csv,300
507,13% restrict adults’ consumption for children,Armed conflict,Food consumption,Negative,136,ronak_patel_csv,303
508,13% limit their portion size,Armed conflict,Portion size,Negative,137,ronak_patel_csv,304
509,"The proportion of households using at least two of the five consumption-based coping strategies also increased to 30%, compared to 25% pre-crisis.",Armed conflict,Negative coping strategies,Positive,138,ronak_patel_csv,305
510,It is also worth noting that 33% of beneficiary households reduced expenditure on health or education over the last 30 days to meet their food needs.,Food security,Health spending,Positive,139,ronak_patel_csv,306
511,It is also worth noting that 33% of beneficiary households reduced expenditure on health or education over the last 30 days to meet their food needs.,Food security,Education spending,Positive,139,ronak_patel_csv,306
513,Almost twice as many urban households have poor food consumption,Armed conflict,Food consumption,Negative,141,ronak_patel_csv,308
517,"The average food expenditure share is found to be 73%, indicating high vulnerability to income change and price volatility",Income,Food expenditure,Negative,144,ronak_patel_csv,311
518,"The average food expenditure share is found to be 73%, indicating high vulnerability to income change and price volatility",Food expenditure,Vulnerability to income change,Positive,144,ronak_patel_csv,311
519,"The average food expenditure share is found to be 73%, indicating high vulnerability to income change and price volatility",Food expenditure,Vulnerability to price volatility,Positive,144,ronak_patel_csv,311
939,"The displacement of refugees from Rwanda during the Rwandan Genocide into the North Kivu region of the DRC triggered cholera outbreaks in the makeshift refugee camps, which were blamed for increasing child malnutrition to crisis levels",Genocide,Displacement,Positive,145,ronak_patel_csv,312
940,"The displacement of refugees from Rwanda during the Rwandan Genocide into the North Kivu region of the DRC triggered cholera outbreaks in the makeshift refugee camps, which were blamed for increasing child malnutrition to crisis levels",Displacement,Disease,Positive,145,ronak_patel_csv,312
941,"The displacement of refugees from Rwanda during the Rwandan Genocide into the North Kivu region of the DRC triggered cholera outbreaks in the makeshift refugee camps, which were blamed for increasing child malnutrition to crisis levels",Disease,Malnutrition (child),Positive,145,ronak_patel_csv,312
1873,"The Somali diaspora, itself largely a by-product of protracted conflict, has been estimated at over one million. Remittances are mostly used for household con- sumption (food), children’s education, family events, including weddings and funerals, and the establishment of micro-enterprises, such as kiosks and shops. Annual flows of remittances into Somalia are estimated at between USD 750 million and USD 1 billion, of which USD 360 million makes a direct contribution to levels of household income",Remittances,Food security,Positive,146,ronak_patel_csv,313
1877,"This is because the traditional division of roles and responsibilities between men and women may be shifting due to conflict and protracted emergencies.The effects of the conflict on the division of labour between the genders have been considerable:‘[t]he hardships of war have forced women to become more responsible for their own and their families’ livelihoods. Many men have been lost in the fighting, and women have picked up the burden of men’s home responsibilities’",Male population,Responsibility of women for family livelihoods,Negative,147,ronak_patel_csv,314
1949,"In cases where land access becomes insecure, crop diversification is no longer in accordance with agro-climatic zones but with security of tenure. Households with insecure land access tend to opt for low-risk, seasonal but less efficient crops instead of perennial crops. These shifts in cropping patterns risk negatively affecting their food security, because in addition to the shifts in crops there is also a shift in the qualitative use of land. When land access becomes insecure, investments to increase productivity tend to decrease.",Access to agricultural land,"Adoption of low-risk, low-reward strategies",Negative,148,ronak_patel_csv,315
1950,"In cases where land access becomes insecure, crop diversification is no longer in accordance with agro-climatic zones but with security of tenure. Households with insecure land access tend to opt for low-risk, seasonal but less efficient crops instead of perennial crops. These shifts in cropping patterns risk negatively affecting their food security, because in addition to the shifts in crops there is also a shift in the qualitative use of land. When land access becomes insecure, investments to increase productivity tend to decrease.",Access to agricultural land,Agricultural production,Positive,148,ronak_patel_csv,315
1951,"In cases where land access becomes insecure, crop diversification is no longer in accordance with agro-climatic zones but with security of tenure. Households with insecure land access tend to opt for low-risk, seasonal but less efficient crops instead of perennial crops. These shifts in cropping patterns risk negatively affecting their food security, because in addition to the shifts in crops there is also a shift in the qualitative use of land. When land access becomes insecure, investments to increase productivity tend to decrease.",Access to agricultural land,Investment in agriculture,Positive,148,ronak_patel_csv,315
128,"People experiencing acute food insecurity invest virtually all their effort in the pursuit of food, leaving little time and energy for the pursuit of higher-order needs like politi- cal goals, community needs, and ideological ends",Food security,Armed group recruitment,Positive,149,ronak_patel_csv,316
233,"In northern Uganda, for example, households shifted their livestock holdings from cattle to small ruminants, reducing the value of their herds by two-thirds",Armed conflict,Livestock,Negative,151,ronak_patel_csv,318
253,"Households relocated to camps established by the inter- national community for the purpose of accommodating refugees are likely to be first in line for basic rations of the food aid package—grain, oil, and a corn-soy blend—but they will be hard-pressed to find the vegetables or meat that would enrich the nutritional value of their diets. The most vulnerable households and individuals among the displaced (the elderly, the chronically sick, orphans, and the disabled) are likely to remain more food-insecure than others",Armed conflict,Displacement,Positive,152,ronak_patel_csv,319
254,"Households relocated to camps established by the inter- national community for the purpose of accommodating refugees are likely to be first in line for basic rations of the food aid package—grain, oil, and a corn-soy blend—but they will be hard-pressed to find the vegetables or meat that would enrich the nutritional value of their diets. The most vulnerable households and individuals among the displaced (the elderly, the chronically sick, orphans, and the disabled) are likely to remain more food-insecure than others",Displacement,Access to specific types of foods,Negative,152,ronak_patel_csv,319
257,"To increase the biological benefits of food, it is essential to curb the incidence of communicable diseases; the relationship between infec- tions and malnutrition is increasingly well articulated",Armed conflict,Disease,Positive,154,ronak_patel_csv,321
258,"To increase the biological benefits of food, it is essential to curb the incidence of communicable diseases; the relationship between infec- tions and malnutrition is increasingly well articulated",Infection,Malnutrition,Positive,154,ronak_patel_csv,321
259,There is also a great- er appreciation of the role that hookworm and other neglected tropical diseases associated with poor water and sanitation practices play in micronutrient malnutri- tion,Hookworms,Malnutrition,Positive,155,ronak_patel_csv,322
867,"As can be seen from these data, 64.6 per cent of respondents indicate that farming is their main source of income, while 24.5 per cent indicate that it is an extra source of income. 8.5 per cent use their farmed produce as food supple- mentation; in other words, it supplements their household food supply, thus aiding household level food security and reducing household costs, while allowing vital household income to be allocated to other necessities.",Agricultural production (food crops),Food availability (urban),Positive,158,ronak_patel_csv,325
868,"As can be seen from these data, 64.6 per cent of respondents indicate that farming is their main source of income, while 24.5 per cent indicate that it is an extra source of income. 8.5 per cent use their farmed produce as food supple- mentation; in other words, it supplements their household food supply, thus aiding household level food security and reducing household costs, while allowing vital household income to be allocated to other necessities.",Food availability (urban),Food security (urban),Positive,158,ronak_patel_csv,325
869,"As can be seen from these data, 64.6 per cent of respondents indicate that farming is their main source of income, while 24.5 per cent indicate that it is an extra source of income. 8.5 per cent use their farmed produce as food supple- mentation; in other words, it supplements their household food supply, thus aiding household level food security and reducing household costs, while allowing vital household income to be allocated to other necessities.",Food availability (urban),Urban household costs,Negative,158,ronak_patel_csv,325
870,"For most they reported a resultant decrease in production, but for some (20.4 per cent) there was actually an increase.",Armed conflict,Urban/peri-urban farm production,Negative,159,ronak_patel_csv,326
871,"here was a decrease in sales for most, but for some an increase",Armed conflict,Urban/peri-urban farm sales,Negative,160,ronak_patel_csv,327
872,"Regards the impact of the war on land, those in the peri-urban areas saw rebel threats or invasion, however temporary it was, as loss of or hindering access to land and negatively affecting their production and marketing",Armed conflict,Urban/peri-urban farmland resources,Negative,161,ronak_patel_csv,328
2562,"acute food insecurity invest virtually all their effort in the pursuit of food, leaving little time and energy for the pursuit of higher-order needs like political goals, community needs, and ideological ends",Food security,Armed group recruitment,Positive,162,ronak_patel_csv,329
2427,"In another setting, D’Souza and Jolliffe (2013) highlighted the negative correlation between the levels of conflict in Afghanistan and food security (after controlling for household characteristics and key commod- ity prices) measured by insufficient calorie intake or real food consumption.",Armed conflict,Caloric intake,Negative,163,ronak_patel_csv,330
2447,"Using a small-scale social protection moni- toring survey carried out by UNICEF, the author found a close co-movement between the prevalence of food-inse- cure households and the prevalence of households affected by conflict.",Armed conflict,Food security,Negative,164,ronak_patel_csv,331
1289,the Maoist movement and ensuing civil conflict in Nepal between 1996 and 2006 largely undermined both conservation efforts and the livelihoods of local people by hampering their ability to derive income from forests and limiting households’ access to food and nutrition,Civil war,Income (farming),Negative,165,ronak_patel_csv,332
1290,the Maoist movement and ensuing civil conflict in Nepal between 1996 and 2006 largely undermined both conservation efforts and the livelihoods of local people by hampering their ability to derive income from forests and limiting households’ access to food and nutrition,Civil war,Forest conservation and management,Negative,165,ronak_patel_csv,332
1291,the Maoist movement and ensuing civil conflict in Nepal between 1996 and 2006 largely undermined both conservation efforts and the livelihoods of local people by hampering their ability to derive income from forests and limiting households’ access to food and nutrition,Income (farming),Access to food,Positive,165,ronak_patel_csv,332
1292,the Maoist movement and ensuing civil conflict in Nepal between 1996 and 2006 largely undermined both conservation efforts and the livelihoods of local people by hampering their ability to derive income from forests and limiting households’ access to food and nutrition,Income (farming),Livelihoods,Positive,165,ronak_patel_csv,332
1301,"although property rights are gender exclusive and women lack formal titles to individual or communal land, women still enjoy de facto rights to fuelwood, certain plants and animals. However, in areas that have undergone commercialisation of forest products, a remapping of the boundaries often occurs. Men as strategic actors bypass women’s micro-rights and maintain their privilege in the landscape.",Agroforestry,Rights of women to forest products,Negative,167,ronak_patel_csv,334
1302,"The growing global trade in shea butter supplied to food and cosmetic industries represents an opportunity to further poor women’s incomes, although such international sales have also led to a re-configuration of rights and claims over shea tree with many women losing access as a consequence",Trade,Access to agricultural land (women),Negative,168,ronak_patel_csv,335
2663,"On the demand side [...] Yemenis throughout the country increasingly are unable to purchase [food]. After 
two years of ground fighting and air bombardment, the economy is in tatters. Families and communities are approaching a breaking point, having sold their assets, spent their savings and exhausted extended networks of support",Armed conflict,Asset sales,Positive,172,ronak_patel_csv,339
2664,"On the demand side [...] Yemenis throughout the country increasingly are unable to purchase [food]. After 
two years of ground fighting and air bombardment, the economy is in tatters. Families and communities are approaching a breaking point, having sold their assets, spent their savings and exhausted extended networks of support",Armed conflict,Spending savings,Positive,172,ronak_patel_csv,339
2665,"On the demand side [...] Yemenis throughout the country increasingly are unable to purchase [food]. After 
two years of ground fighting and air bombardment, the economy is in tatters. Families and communities are approaching a breaking point, having sold their assets, spent their savings and exhausted extended networks of support",Armed conflict,Social networks,Negative,172,ronak_patel_csv,339
2667,"as well as ensuring financial, exchange rate and price stability, these resources have become the main source of financing for domestic investment and the main instrument for reducing poverty, since they are mainly received by poor people and families, who use them to meet their basic consumption needs.",Remittances,Access to basic necessities,Positive,173,ronak_patel_csv,340
2668,the structure of the food supply has significantly changed due to the combined effect of a decrease in local production of agricultural foodstuffs and the explosive increase in food imports driven by the availability of foreign currency,Remittances,Food imports,Positive,174,ronak_patel_csv,341
2669,the structure of the food supply has significantly changed due to the combined effect of a decrease in local production of agricultural foodstuffs and the explosive increase in food imports driven by the availability of foreign currency [...] This has in turn made the country more vulnerable to fluctuations in international food prices.,Food imports,Vulnerability to price volatility,Positive,175,ronak_patel_csv,342
2670,"weakness of state institutions has had serious repercussions. On the one hand, the state's historical weak presence in rural areas together with the progressive deterioration of institutions related to support for the farming sector in recent decades, has resulted in greater fragility and vulnerability in rural areas and communities",State and institutional capacity (rural),Rural fragility,Negative,176,ronak_patel_csv,343
2671,"centrally the state has been incapable of implementing regional and local policies to support the various rural areas, which has hindered the development of the farming sector in general and food production in particular",State and institutional capacity,Agricultural policies,Positive,177,ronak_patel_csv,344
2673,"Throughout the conflict [armed groups] were able to [...] constantly strike blows against the national economy. The insurgents considered this to be a strategic military objective so they used all available means to destroy physical infrastructure (the electricity grid, bridges, communication infrastructure, etc.) and damage private property, especially in the transport, farming and industrial sectors.",Insurgency,Agricultural infrastructure,Negative,178,ronak_patel_csv,345
2675,"Recent studies show the vast economic and social effects that the maras have in the territories they control, including restrictions on the movement of people and entire communities",Criminality,Mobility,Negative,180,ronak_patel_csv,347
2676,"decrease in food production due to physical destruction of crops and harvests, abandonment of crops and farming land and their negative effects on the private investment climate, which resulted in a significant drop in farm production",Destruction of crops,Agricultural production (food crops),Negative,181,ronak_patel_csv,348
2678,"decrease in food production due to physical destruction of crops and harvests, abandonment of crops and farming land and their negative effects on the private investment climate, which resulted in a significant drop in farm production",Abandonment of farms and property,Agricultural production (food crops),Negative,181,ronak_patel_csv,348
2683,The fall in household income due to large-scale urban and rural job losses as a result of the widespread economic crisis caused by the war and the decrease in salaries due to a passive wage policy,Livelihoods,Income,Positive,182,ronak_patel_csv,349
2684,"The mass displacement of people and communities caused by the direct confrontations between the two armies and by the policy of repression of the civil population living in areas under guerrilla control employed by the Salvadoran state forces during the initial phases of the war, which caused a prolonged humanitarian and food crisis",Armed conflict,Displacement,Positive,183,ronak_patel_csv,350
2685,"The mass displacement of people and communities caused by the direct confrontations between the two armies and by the policy of repression of the civil population living in areas under guerrilla control employed by the Salvadoran state forces during the initial phases of the war, which caused a prolonged humanitarian and food crisis",Political repression,Displacement,Positive,183,ronak_patel_csv,350
2687,"The appearance of and constant growth in family remittances, which brought foreign currency into the country that was received directly by the poor population [...] increased income and consumption among recipient families",Remittances,Income,Positive,184,ronak_patel_csv,351
313,"Six years after the 1994 conflict in Rwanda, households and communities that experienced more intense conflict experienced 36 percent lower consumption scores than other areas.",Armed conflict,Food consumption,Negative,185,ronak_patel_csv,352
314,"In neighbouring Burundi, exposure to individual-level violence decreases the probability of growing coffee four years after the end of the war by some 16 to 18 percent.",Armed conflict,Agricultural production (cash crops),Negative,186,ronak_patel_csv,353
1998,returnees are significantly better off economically than those who had (still) remained displaced,Returnees (IDPs),Economic outcomes,Positive,187,ronak_patel_csv,354
1999,"While camp residents are less active overall (which may suggest their productivity is low), they are more likely to cultivate and trade.",Displacement (camp),Overall activity,Negative,188,ronak_patel_csv,355
2000,"While camp residents are less active overall (which may suggest their productivity is low), they are more likely to cultivate and trade.",Displacement (camp),Agricultural production,Positive,188,ronak_patel_csv,355
2001,"While camp residents are less active overall (which may suggest their productivity is low), they are more likely to cultivate and trade.",Displacement (camp),Trade,Positive,188,ronak_patel_csv,355
2002,find similar effects on food expense and calorie intake among Burundian refugees. The study estimates that it would take 8–10 years after return for the welfare gap between displaced and non-displaced households to close.,Displacement,Caloric intake,Negative,189,ronak_patel_csv,356
2003,find similar effects on food expense and calorie intake among Burundian refugees. The study estimates that it would take 8–10 years after return for the welfare gap between displaced and non-displaced households to close.,Displacement,Food expenditure,Negative,189,ronak_patel_csv,356
2004,the findings confirm that households living close to registered conflict events often experience drops in consumption levels,Proximity to conflict,Food consumption,Negative,190,ronak_patel_csv,357
2024,"shifts in crop, livestock and asset portfolios are often consistent with households increasing the share of low-risk, low-return activities",Armed conflict,"Adoption of low-risk, low-reward strategies",Positive,191,ronak_patel_csv,358
2026,"many Burundian households exposed to high levels of conflict violence shifted their portfolios towards more sustainable, and more profitable, activities, and that income shares from export crop farming were higher in violence-affected regions",Armed conflict,Change in crop production portfolios,Positive,193,ronak_patel_csv,360
2027,"many Burundian households exposed to high levels of conflict violence shifted their portfolios towards more sustainable, and more profitable, activities, and that income shares from export crop farming were higher in violence-affected regions",Armed conflict,Income,Positive,193,ronak_patel_csv,360
2028,"armed groups sometimes target recruits via basic needs, by providing food, shelter and physical security",Armed group recruitment,Providing food and other essentias,Positive,194,ronak_patel_csv,361
2029,"civilians survive and protect their livelihoods and food security through forms of support for armed groups, which may be voluntary or involuntary",Desire to secure food resources,Support for armed groups,Positive,195,ronak_patel_csv,362
547,"Sherman reported that many Afghan citizens spend as much as 70% of their income on food, even in relatively prosperous times (7), which is higher than citizens in most countries, as shown in Figure 3.",Armed conflict,Percent of income spent on food,Positive,197,ronak_patel_csv,364
560,"The disruption of land use lowers farmers’ willingness to engage in agricultural activity. Landmines and unexploded ordnances are still present in some regions of Bosnia. There has been a large mine-clearing effort, partially funded by international agencies, but more than 1,000 km2 of land remain hazardous",Landmines,Agricultural production,Negative,198,ronak_patel_csv,365
561,"In post-war Rwanda, many people were reluctant to invest in crop or livestock agriculture, due to the uncertainty of ownership and the threat of losing land resources, even though many fertile agricultural parcels were unused.",Threat of losing land resources,Agricultural production,Negative,199,ronak_patel_csv,366
419,"There is little mention of gender in the literature although there is a study which mentions that girls are more affected than boys when crop failure affects the availability of food. In addition, pregnant woman in conflict areas are more likely to give birth to underweight babies",Agricultural production,Food availability (girls),Positive,200,ronak_patel_csv,367
420,"There is little mention of gender in the literature although there is a study which mentions that girls are more affected than boys when crop failure affects the availability of food. In addition, pregnant woman in conflict areas are more likely to give birth to underweight babies",Armed conflict,Birth weights,Negative,200,ronak_patel_csv,367
688,"Thus, we find that for most food groups our expenditure elasticity estimates are elastic except for cereals and for oils and fats.",Food prices,Food expenditure,Negative,201,ronak_patel_csv,368
690,"With income growth, IDP and nomadic households will likely increase their consumption of fruits/ vegetables and pulses relatively more, whereas urban households will increase their consumption of pulses, and rural households will increase consumption of meat/fish.",Income (IDPs),Food expenditure,Positive,202,ronak_patel_csv,369
691,"With income growth, IDP and nomadic households will likely increase their consumption of fruits/ vegetables and pulses relatively more, whereas urban households will increase their consumption of pulses, and rural households will increase consumption of meat/fish.",Income,Food expenditure,Positive,202,ronak_patel_csv,369
692,"With income growth, IDP and nomadic households will likely increase their consumption of fruits/ vegetables and pulses relatively more, whereas urban households will increase their consumption of pulses, and rural households will increase consumption of meat/fish.",Income (urban),Food expenditure,Positive,202,ronak_patel_csv,369
693,"With income growth, IDP and nomadic households will likely increase their consumption of fruits/ vegetables and pulses relatively more, whereas urban households will increase their consumption of pulses, and rural households will increase consumption of meat/fish.",Income (rural),Food expenditure,Positive,202,ronak_patel_csv,369
946,"In Baghdad City during the Iraq War, death of a household’s mother or father was positively associated with increased odds of children in the home being moderately malnourished",Mortality,Malnutrition (child),Positive,203,ronak_patel_csv,370
947,"Abandonment of families during times of deprivation following armed conflicts commonly occurs when men and women leave their homes in search of economic opportunity elsewhere, sometimes never to return",Armed conflict,Poverty,Positive,204,ronak_patel_csv,371
948,"Abandonment of families during times of deprivation following armed conflicts commonly occurs when men and women leave their homes in search of economic opportunity elsewhere, sometimes never to return",Poverty,Family abandonment,Positive,204,ronak_patel_csv,371
958,mothers interviewed about breastfeeding practices during the Gulf War reported stressful life events and a perceived lack of breastmilk as reasons for cessation of breastfeeding in children older than 12-months in age,Armed conflict,Stress,Positive,205,ronak_patel_csv,372
959,mothers interviewed about breastfeeding practices during the Gulf War reported stressful life events and a perceived lack of breastmilk as reasons for cessation of breastfeeding in children older than 12-months in age,Stress,Breastfeeding,Negative,205,ronak_patel_csv,372
1743,"With the increase in intensity of war since 2013, increasing numbers of women have been abandoned by husbands and sons either joining the conflict, or fleeing to avoid being forced to join the conflict. The decrease in the availability of male labour for production activities can have an impact on the food and cash earned by a household in a very short period. Over a period of several years, such a household could move down the wealth spectrum from poor to very poor. This kind of dynamic, combined with the already high-level risk related to poor hygiene, has critical impacts on the nutritional status of children and vulnerable adults.",Armed conflict,Labor supply,Negative,206,ronak_patel_csv,373
1744,"With the increase in intensity of war since 2013, increasing numbers of women have been abandoned by husbands and sons either joining the conflict, or fleeing to avoid being forced to join the conflict. The decrease in the availability of male labour for production activities can have an impact on the food and cash earned by a household in a very short period. Over a period of several years, such a household could move down the wealth spectrum from poor to very poor. This kind of dynamic, combined with the already high-level risk related to poor hygiene, has critical impacts on the nutritional status of children and vulnerable adults.",Labor supply,Wealth,Positive,206,ronak_patel_csv,373
1745,"With the increase in intensity of war since 2013, increasing numbers of women have been abandoned by husbands and sons either joining the conflict, or fleeing to avoid being forced to join the conflict. The decrease in the availability of male labour for production activities can have an impact on the food and cash earned by a household in a very short period. Over a period of several years, such a household could move down the wealth spectrum from poor to very poor. This kind of dynamic, combined with the already high-level risk related to poor hygiene, has critical impacts on the nutritional status of children and vulnerable adults.",Wealth,Malnutrition (vulnerable pop),Negative,206,ronak_patel_csv,373
2369,Households that have lost skilled farmers tend to change both the volume and type of crops they produce by switching to less labour-intensive and more short- term production. These production changes lead to an overall fall in production.,Farmers,Labor-intensive production,Positive,207,ronak_patel_csv,374
2370,Households that have lost skilled farmers tend to change both the volume and type of crops they produce by switching to less labour-intensive and more short- term production. These production changes lead to an overall fall in production.,Farmers,Agricultural production (short-term),Negative,207,ronak_patel_csv,374
2371,Households that have lost skilled farmers tend to change both the volume and type of crops they produce by switching to less labour-intensive and more short- term production. These production changes lead to an overall fall in production.,Labor-intensive production,Agricultural production,Positive,207,ronak_patel_csv,374
2372,Households that have lost skilled farmers tend to change both the volume and type of crops they produce by switching to less labour-intensive and more short- term production. These production changes lead to an overall fall in production.,Agricultural production (short-term),Agricultural production,Negative,207,ronak_patel_csv,374
2373,"Moreover, conflict changes the gender composition of households, because more men than women are recruited into armed groups, so men are more likely to be injured, maimed or killed in war. The resulting increase in female-headed households can further shift production patterns. For example, the remaining women may shift from producing for markets to producing for household consumption, as in many settings men tend to handle produce marketing. Female farmers are more likely to sell their produce at farm gates through intermediaries.",Armed group recruitment,Female-headed households,Positive,208,ronak_patel_csv,375
2374,"Moreover, conflict changes the gender composition of households, because more men than women are recruited into armed groups, so men are more likely to be injured, maimed or killed in war. The resulting increase in female-headed households can further shift production patterns. For example, the remaining women may shift from producing for markets to producing for household consumption, as in many settings men tend to handle produce marketing. Female farmers are more likely to sell their produce at farm gates through intermediaries.",Female-headed households,Agricultural production (subsistence),Positive,208,ronak_patel_csv,375
